Country,Summary.of.the.I.NDC,country_code,size,year,old_year,Type,ratio,
Afghanistan,"A 13.6% reduction in emissions by 2030, compared to a business-as-usual scenario, conditional upon international support. Includes section on adaptation.",AFG,13.6,2030,2005,BAU,-121.2,
Albania,"An 11.5% reduction in emissions by 2030, compared to business-as-usual levels. Covers only carbon dioxide emissions. Includes a long term target to reduce emissions to 2 tons of greenhouse gases per capita by 2050.",ALB,11.5,2030,2009,BAU,-22.1,
Algeria,"A 7-22% reduction in greenhouse gas emissions by 2030, compared to business as usual. The lower end is unconditional whereas the top end of ambition is dependent on provision of climate finance and access to technology. Link to Algeria's INDC.",DZA,7,2030,NA,BAU,,
Andorra,arbon dioxide emissions must be reduced by 45% in 2030 compared to 2010 in order to achieve net zero emissions by mid-century.,AND,45,2030,2010,Emission,,(Spanish)
Angola,"Angola plans to reduce GHG emissions up to 14% by 2025 as compared to the base year (unconditionally). The baseline corresponds to the most recent National GHG Inventory (2015), and accounts for 99.99 million tonnes of CO2e. The emissions under the BAU scenario are estimated to be 103.9 million tonnes of CO2e in 2020 and 108.5 million tonnes of CO2e in 2025.
",AGO,35,2025,2015,BAU,-81.9,
Antigua and Barbuda,"The updated NDC aims to achieve 86% renewable energy generation from local resources amongst other mitigation and adaptation targets designed to reduce transitional risks, support vulnerable groups, and provide business and investment opportunities.",ATG,,,,,,
Argentina,"with a view to 2030, we have defined a goal to curb greenhouse gas emissions to 26% below the NDC established in 2016. ",ARG,26,2030,2005,BAU,-26.6,
Armenia,Limits emissions to an aggregate 633 million tonnes of CO2 equivalent for the period 2015-2050. This works out at per capita emissions of 5.4 tons (compared to 2.14 tons in 2010). This is subject to international support. Includes section on adaptation.,ARM,40,2030,1990,Emission,,
Australia,"Australia is increasing the ambition of its 2030 target, committing to reduce greenhouse gas emissions 43% below 2005 levels by 2030.",AUS,43,2030,2005,Emission,,
Azerbaijan,"reduce greenhouse gas emissions by 40% compared to 1990 (base year) level by 2050 if international support is provided through financing, technology transfer and capacity building.",AZE,40,2050,1990,Emission,,
Bahamas,"In 2016, it ratified the Paris Agreement and submitted its first Nationally Determined Contribution (NDC), committing to a 30% reduction in greenhouse gas emissions compared to its Business- as-Usual (BaU) scenario.",BHS,30,2030,NA,BAU,,
Bahrain,"As per Article 4.7 of the Paris Agreement, at the core of this NDC is mitigation co-benefits resulting from adaptation actions and economic diversification plans.",BHR,,,,,,
Bangladesh,"Bangladesh’s INDC proposed for 12 million tons (5%) unconditional reduction in GHG emission from Business as Usual (BAU) scenario by 2030 and a further 24 million tons (10%) conditional reduction in GHG emission with support from the international community taking the base year 2011. For the NDC update, 2012 has been considered as the base year following the Third National Communication of Bangladesh, which details a comprehensive national GHG emission inventory for 2012.",BGD,5,2030,2012,BAU,-246.9,
Barbados,35% reduction relative to business-as-usual emissions in 2030 without international support (unconditional).,BRB,35,2030,2008,BAU,,
Belarus," the new unconditional economy-wide target is to reduce greenhouse gas emissions by at least 35 per cent from the 1990 level by 2030, inclusive of the LULUCF sector.",BLR,35,2030,1990,Emission,,
Belize,"An 85% increase in the share of renewables in its mix by 2027, with a 62% reduction in carbon dioxide emissions compared to a business-as-usual. Also has a goal to reduce greenhouse gas emissions by 24 million tonnes between 2014 and 2033. Conditional upon international support. Will provide information on adaptation at a later stage. Targets included in this updated NDC are estimated to avoid a cumulative emissions total across all sectors of 5,647 KtCO2e between 2021 and 20301 (peaking at1,080 KtCO2e in avoided emissions in the year 20302). As mentioned previously, this revised commitment is not necessarily comparable to the commitment in the first NDC due to improvements in data underlying the projections. Never-the-less, there is a 5% increase in overall commitments in this updated NDC.",BLZ,67,2027,NA,BAU,,
Benin,"For the coming years, the measures envisaged in the revised NDC, in the Energy, Agriculture and Waste sectors (see Tables 5, 6, 7 and 8 below) are likely to contribute to reducing cumulative GHG emissions (excluding LULUCF) by around 48.75 Mt E-CO2 compared to the reference scenario, i.e. a reduction of around 20.15% over the period 2021-2030.",BEN,,,,,,(French)
Bhutan,"more than our fair share of efforts for climate change mitigation, the actions describing targets, actions and strategies are conditional on receiving adequate support for implementation.",BTN,,,,,,
Bolivia,"Lists a series of actions, including ending illegal deforestation by 2020, and increasing the share of renewable energy to 79% by 2030 from 39% in 2010. This could be increased to 81% with international support. Also focuses on water. Denounces capitalism as ﾒa system of deathﾓ, and rejects carbon markets. Proposes allocating carbon budget between countries, with 89% going to the developing world.",BOL,,,,,,
Bosnia and Herzegovina,The unconditional GHG emissions reduction target for 2030 is 12.8% compared to 2014 or 33.2% compared to 1990. ,BIH,12.8,2030,1990,Emission,,
Botswana,"A 15% reduction in emissions by 2030, compared to 2010 levels, funded by both domestic and international resources. Includes section on adaptation.",BWA,15,2030,2010,Emission,,
Brazil,"Additionally, Brazil commits to an absolute net greenhouse gas emission target in 2030 of 1.20 GtCO2e, consistent with a reduction of 53.1% in comparison with 2005, according to the latest inventory data.",BRA,53.1,2030,2005,Emission,,
Brunei,Brunei Darussalam is committed to a reduction in GHG emissions by 20% relative to Business-As-Usual levels by 2030.,BRN,20,2030,2015,BAU,,
Burkina Faso,"The country is committed, in relation to its mitigation actions, to reducing its GHG emissions by 31,682.3 Gg CO2eq by 2030, or 29.42% compared to the Business As Usual scenario. This commitment is 21,074.94 Gg CO2eq for the unconditional scenario, or 19.60%, and 10,557.91 Gg CO2eq for the conditional scenario, or 9.82%.",BFA,19.6,2030,2007,BAU,-404.3,(French)
Burundi,"The updated NDCs are based on the principle of voluntary commitment by countries and promote cooperation between countries to achieve, in a coordinated manner, common objectives to combat climate change that must lead to a 45% reduction 1 in greenhouse gas emissions by 2030 compared to 2010 levels, in order to remain below the 1.5°C target. Its trajectory is planned in relation to a BAU",BDI,3,2030,2005,BAU,-418,(French)
Cabo Verde,The 2030 commitment to reduce economy-wide greenhouse gas (GHG) emissions by 18% below business-as-usual (BAU) and to increase this target to 24% on the condition of adequate international support;,CPV,18,2030,2013,BAU,,
Cambodia,"A reduction of 27% in emissions below a business-as-usual scenario by 2030, with an additional target to increase forest cover to 60% of national land area by 2030. This is conditional upon international support. Includes section on adaptation.",KHM,27,2030,2010,BAU,-70,
Cameroon,"The level of GHG reduction by 2030 is 35% distributed as follows: 23% in a conditional scenario, 12% unconditional",CMR,12,2030,2010,Emission,,
Canada,Canada’s updated NDC is to reduce emissions by 40-45% below 2005 levels by 2030,CAN,40,2030,2005,Emission,,
Central African Republic,"The mitigation measures taken will generate, according to the unconditional scenario, a reduction in greenhouse gas emissions of 9.03% and 11.82% respectively by 2025 and 2030 compared to the reference situation; and according to the conditional scenario 14.64% and 24.28% by 2025 and 2030 compared to the reference situation.",CAF,11.82,2030,2010,BAU,-53.8,
Chad,"Unconditional pledge to reduce emissions by 18.2% by 2030, compared to a business-as-usual scenario, or a 71% reduction by 2030, conditional upon international support. Includes section on adaptation, including priority areas of the country.",TCD,18.2,2030,2010,BAU,-179.8,
Chile,"An unconditional 30% reduction in emissions per unit of GDP by 2030, compared to 2007 levels, or a 35-45% reduction conditional on international support. The intensity target covers all sectors except land use and forestry. Includes separate targets on sustainable forest management and reforestation. Includes section on adaptation.",CHL,30,2030,2007,Intensity,,
China,"A peak in carbon dioxide emissions by 2030, with best efforts to peak earlier. China has also pledged to source 20% of its energy from low-carbon sources by 2030 and to cut emissions per unit of GDP by 60-65% of 2005 levels by 2030, potentially putting it on course to peak by 2027.",CHN,65,2030,2005,Intensity,,
Colombia,"The updated NDC, which covers all emitting sectors, commits to reducing emissions by 51% by 2030 as compared to the business-as-usual scenario.",COL,51,2030,2010,BAU,-19.6,
Comoros,An 84% reduction in emissions based on a business-as-usual scenario by 2030. This is conditional upon receiving adequate levels of international financial support. Also contains adaptation targets.,COM,84,2030,2010,BAU,42.6,(French)
Congo,32.19% in the conditional scenario and 21.46% in the,COG,21.46,2025,2017,BAU,-65.4,(French)
Cook Islands,scénario inconditionnel en 2030.,COK,81,2030,2006,Emission,,
Costa Rica,"Reconfirms its aspiration to become carbon neutral by 2021. In terms of total greenhouse gas emissions, pledges to reduce emissions by 44% by 2030 compared to business-as-usual levels, equivalent to a 25% reduction compared to 2012 levels. Requires international support to implement. Includes section on adaptation.",CRI,25,2030,2012,Emission,,
Cuba,"A series of projects a policies including more than 2 gigawatts of renewable power plants to be implemented by 2030, conditional on international support. Includes section on adaptation.",CUB,,2030,,,,
Democratic Republic of the Congo,"Its current target is to reduce its emissions by 21%, taking into account the Waste sector not covered in the first submission, for an estimated overall cost of forty-eight point sixty-eight (48.68) billion US dollars.",COD,21,2030,2000,BAU,-48.7,(French)
Djibouti,"An unconditional pledge to reduce emissions by 40% by 2030, compared to a business-as-usual scenario, plus a conditional pledge to reduce emissions by a further 20%. Includes detailed policies on how it would achieve both targets, as well as a section on adaptation.",DJI,40,2030,2010,BAU,-36,
Dominica,with a total greenhouse gas emissions reduction of 45% below 2014 levels by 2030.,DMA,45,2030,2014,Emission,,
Dominican Republic,"The Dominican Republic, in its NDC 2020, increases its climate ambition by committing to a 27% reduction in GHG emissions with respect to BAU or business as usual by 2030. This with a target of 20% conditioned on external finances and 7% unconditioned on domestic finances, with this being distributed in 5% corresponding to the private sector and 2% to the public sector.",DOM,7,2030,2010,Emission,,
Ecuador,"Commits to an unconditional 20.4% to 25% reduction in energy sector emissions by 2025, compared to business-as-usual levels, or a conditional 37.5% to 45.8% dependent on international support.",ECU,20.4,2025,NA,BAU,,
Egypt,"To achieve ""high CO2 mitigation levels"" through measures including phasing out energy subsidies within 3-5 years and, potentially, a national carbon market. Also aims to use renewable and nuclear power sources. Requires international support of $73bn. Includes section on adaptation.",EGY,,2030,,,,
El Salvador,"Pledges a series of actions, including to develop plans to limit emissions from land use sector by 2016 and its power sector by 2017.",SLV,,2030,,,,
Equatorial Guinea,"Equatorial Guinea's ambition in its updated NDC has been increased and aims to reduce emissions by 35% by 2030, with the goal of reaching 50% by 2050,",GNQ,35,2030,2010,Emission,,
Eritrea,"An 80.6% reduction in emissions by 2030, compared to business-as-usual levels. 39.2% of this is unconditional, and can be financed using domestic resources. Includes goal to raise share of renewable energy in electricity generation to 70%. Contains section on adaptation.",ERI,39.2,2030,2010,BAU,3.1,
Ethiopia,"A 64% reduction on business as usual emissions by 2030, equivalent to a 3% reduction against a 2010 baseline. now is 69.8",ETH,3.2,2030,2010,Emission,,
Fiji,"An unconditional 10% emissions cut by 2030, compared to business as usual levels, or a conditional 30% reduction with international support. Applies to energy emissions only. Also targets 100% renewable electricity by 2030. Includes section on adaptation.",FJI,10,2030,2013,BAU,-20,
Gabon,At least a 50% reduction in greenhouse gases by 2025 compared to a business as usual scenario. This would mean emissions would hit roughly the same levels as they were in 2000. They also include a national adaptation strategy focused on coastal areas.,GAB,0,2025,2000,Emission,,
Gambia,"The mitigation measures proposed in the NDC2 project GHG emissions of 3,327 GgCO2e in 2030, a reduction of 49.7 percent (3,290 GgCO2e in absolute figures) against BAU.",GMB,49.9,2030,2010,BAU,,
Georgia,"A 15% reduction in greenhouse gases, excluding land use and forestry, below business as usual levels by the year 2030, which is equal to a 34% reduction in emission intensity per unit of GDP from 2013 to 2030. The 15% will be increased to 25% on the condition of access to low-cost international finance and technology transfer. Includes a section on adaptation.",GEO,34,2030,2013,Intensity,,
Ghana,"A 45% reduction in emissions by 2030, compared to business-as-usual levels. 15% of this is unconditional, and 30% is conditional upon international support. Includes interim goal for 2025, and actions on adaptation.",GHA,15,2030,2010,BAU,-221.9,
Grenada,Grenada commits to reducing its GHG emissions by 40% of the 2010 emissions levels by 2030.,GRD,40,2030,2010,Emission,,
Guatemala,"An unconditional 11.2% emissions cut in 2030, relative to business as usual projections, or a conditional 22.6% reduction. Notes that climate-related loss and damage over the past 16 years totals $3.5bn. Includes section on adaptation.",GTM,11.2,2030,2005,BAU,-52,(Spanish)
Guinea,"A 13% reduction on emissions by 2030, compared to 1994 levels, excluding land use and forestry, conditional upon international support. Includes section on adaptation.",GIN,13,2030,1994,Emission,,
Guinea-Bissau,"As a net sink, further emissions cuts are conditional on support. Aims to boost renewables' share of the energy mix to 80% by 2030 and develop a national reforestation programme by 2025. Section on adaptation includes to increase protected area coverage from 15 to 26%.",GNB,,2030,,,,
Guyana,"Up to 52 million tonnes of CO2 equivalent of mitigation and a 20% share of total energy from renewables by 2025, conditional on provision of adequate resources. Unconditional elements are not associated with quantified outcomes. The pledge covers CO2 from forestry and energy. Conditional elements and adaptation needs will cost an estimated $4.495bn.",GUY,,2030,,,,
Haiti,Unconditional reduction of 6.32% compared to the reference scenario Conditional reduction of 25.5% compared to the reference scenario.,HTI,6.2,2030,2000,BAU,-148.7,(French)
Honduras,"This situation prevents the inclusion of this sector in the 16% reduction of GHG emissions compared to the “business as usual” (BaU) scenario for 2030. Honduras recognizes this fact and is committed to improving the completeness and accuracy of the INGEI for the next update of the NDC, which will allow the inclusion of the LULUCF sector in the BaU diversion commitment.",HND,16,2030,2012,BAU,-30,(Spanish)
Iceland,"Intends to take part in the EU's collective effort to reduce emissions across the region by 40% on 1990 levels by 2030. The precise commitment it will take on as part of this effort sharing approach has yet to be decided; if no agreement is reached, Iceland will submit a new INDC.",ISL,55,2030,1990,Emission,,
India,"To reduce Emissions Intensity of its GDP by 45 percent by 2030, from 2005 leve",IND,45,2030,2005,Intensity,,
Indonesia,Indonesia submits Enhanced NDC to the UNFCCC Secretariat by 23 September 2022 with increased emission reduction target from 29% in First NDC and Updated NDC to 31.89% unconditionally and from 41% in the Updated NDC to 43.20% conditionally.,IDN,31.98,2030,2005,BAU,-13.6,
Iran,"A 4% cut in emissions by 2030 relative to business as usual, or a 12% cut conditional on international support of $35bn. Both elements are conditional on an end to sanctions. Includes section on adaptation.",IRN,4,2030,2010,BAU,,
Iraq,[INDC only available in Arabic],IRQ,,2030,,,,
Israel,this new Decision includes an unconditional absolute greenhouse gas (GHG) emissions reduction goal for 2030 of 27% relative to 2015,ISR,27,2030,2015,Emission,,
Ivory coast,commits to an unconditional target of decreasing economy-wide emissions by 30.41% and a conditional target of 98.95% reduction in emissions by 2030.,CIV,30.41,2030,NA,BAU,,
Jamaica,"By 2030, it foresees emission reductions covering these two sectors of between 25.4 per cent (unconditional) and 28.5 per cent (conditional) relative to a business-as-usual scenario (which takes into account policies in place as of 2005). ",JAM,25.4,2030,2005,BAU,-26.4,
Japan,Japan aims to reduce its greenhouse gas emissions by 46 percent in fiscal year 2030 from its fiscal year 2013 levels,JPN,46,2030,2013,Emission,,
Jordan,the reduction target (31%)is divided into conditional and unconditional as “percentage of total reduction” as follows: Conditional target: 26%， Unconditional target: 5%,JOR,5,2030,2006,BAU,-75,
Kazakhstan,"An unconditional 15% reduction in economy-wide emissions by 2030, compared to 1990 levels or a 25% reduction conditional on international support. Emissions are currently around 25% below 1990 levels.",KAZ,15,2030,1990,Emission,,
Kenya,A reduction in emissions of 32% by 2030 relative to a business-as-usual scenario of 143 MtCO2e. This is subject to financial and technological international support. Does not rule out use of international market mechanisms. Includes plan for adaptation actions.,KEN,32,2030,2010,BAU,-37.1,
Kiribati,"To unconditionally reduce 9.5% (11.3 ktCO,) of BAU GHG emissions, and conditionally reduce 16.7% (20.0 ktCO,e) of BAU GHG emissions by 2025.",KIR,9.7,2030,2019,BAU,-9.1,
Kuwait,"To ""move to a low carbon equivalent economy"" and avoid an increase in emissions above business-as-usual projections, conditional on international support.",KWT,,2030,,,,
Kyrgyzstan,"n 2030, it can reduce GHG emissions by 15.97% of the emissions level under the ""Business as usual"" scenario, and with international support by 43.62%.",KGZ,15.97,2030,NA,BAU,,
Lao PDR,"The 60% GHG emission reductions national level 2030 target demonstrates the enhanced contribution of the country to the Paris Agreement, considering the 34% GHG emission reductions compared to the baseline scenario achieved in 2020.",LAO,60,2030,2000,Emission,,
Lebanon,"This NDC represents a progression beyond Lebanon’s 2015 NDC by unconditionally increasing its Greenhouse Gas (GHG) emission target relative to the Business-As-Usual (BAU) scenario from 15% to 20%, and conditionally increasing its GHG emission target relative to the BAU scenario from 30% to 31%. ",LBN,20,2030,2015,BAU,-43.8,
Lesotho,"An unconditional 10% reduction in emissions compared to a business-as-usual scenario by 2030, or a conditional reduction of 35% by 2030, dependent on international support. Includes section on adaptation, which also requires international support.",LSO,10,2030,2000,BAU,-118.3,
Liberia,"In its revised NDC, Liberia commits to reducing its economy-wide greenhouse gas emissions by 64% below the projected business-as-usual level by 2030, through a combination of the following: unconditional GHG reductions of 10% below BAU, resulting in an absolute emissions level of 11,187Gg CO2e in 2030; with an additional 54% reduction conditional upon international support, which would result in an absolute emissions level of 4,537Gg CO2e in 2030.",LBR,10,2030,2000,BAU,16.8,
Libya,INDC not yet submitted,LBY,,2030,,,,
Liechtenstein,"A 40% reduction on 1990 levels by 2030. This includes the possibility to achieve emissions reductions abroad, but with the primary focus on domestic emissions.",LIE,40,2030,1990,Intensity,,
